id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
82,0.3141,0.1376,0.2513,0.1858,0.1171,0.0699,0.049,0.049,0.1788,0.0242
83,0.3636,0.1724,0.3182,0.266,0.1513,0.0907,0.0301,0.0301,0.2664,0.1411
84,0.4889,0.3258,0.3889,0.3958,0.3227,0.2855,0.2591,0.2591,0.4076,0.3321
85,0.4304,0.2436,0.3671,0.3553,0.2666,0.2125,0.1801,0.1801,0.3596,0.2387
86,0.4846,0.3111,0.3965,0.3111,0.2416,0.1849,0.1443,0.1443,0.3135,0.2865
87,0.3583,0.1176,0.2583,0.2305,0.1037,0.0601,0.0349,0.0349,0.2113,0.1727
88,0.137,0.0,0.0959,0.0741,0.0083,0.004,0.0028,0.0028,0.102,-0.061
89,0.2576,0.1692,0.2424,0.1591,0.121,0.106,0.0957,0.0957,0.3045,0.1353
90,0.5785,0.3833,0.438,0.4098,0.3318,0.2861,0.2486,0.2486,0.3991,0.3005
91,0.6354,0.5309,0.5415,0.366,0.3306,0.2948,0.2614,0.2614,0.4406,0.5477
92,0.2857,0.129,0.1429,0.1461,0.0815,0.0197,0.0097,0.0097,0.2634,0.055
93,0.4082,0.1753,0.2551,0.2417,0.1514,0.1088,0.0805,0.0805,0.1941,0.135
94,0.4691,0.2375,0.3457,0.369,0.231,0.1658,0.1355,0.1355,0.3677,0.2695
95,0.4862,0.2235,0.2652,0.4215,0.281,0.2026,0.1452,0.1452,0.3458,0.3576
96,0.4356,0.1345,0.2756,0.3099,0.1516,0.0576,0.02,0.02,0.2314,0.2384
97,0.4311,0.2182,0.3473,0.3111,0.2048,0.1336,0.0952,0.0952,0.3472,0.2622
98,0.4541,0.1586,0.2707,0.2489,0.1389,0.1003,0.0795,0.0795,0.2137,0.2711
99,0.1879,0.0272,0.1208,0.1075,0.0342,0.0109,0.0061,0.0061,0.1337,-0.1219
100,0.4078,0.2255,0.3301,0.3098,0.2169,0.1707,0.1444,0.1444,0.2717,0.0373
101,0.3541,0.1353,0.1627,0.243,0.1267,0.0674,0.0233,0.0233,0.231,0.1244
102,0.3778,0.1461,0.2444,0.2444,0.1048,0.05,0.0195,0.0195,0.2918,0.137
103,0.2154,0.0311,0.1436,0.1754,0.072,0.0173,0.0085,0.0085,0.12,-0.0549
104,0.25,0.0787,0.2188,0.1643,0.0924,0.0165,0.007,0.007,0.1133,-0.2911
105,0.2597,0.0921,0.1818,0.1839,0.0925,0.0216,0.0105,0.0105,0.1356,0.074
106,0.2867,0.0578,0.1577,0.144,0.0538,0.0245,0.0093,0.0093,0.1338,-0.1919
107,0.3121,0.1404,0.2428,0.2697,0.1751,0.1351,0.1145,0.1145,0.2883,0.0506
108,0.3605,0.1882,0.2907,0.2353,0.1715,0.1193,0.0879,0.0879,0.2013,0.1578
109,0.4941,0.2262,0.4235,0.3601,0.2388,0.1702,0.1255,0.1255,0.3227,0.3514
110,0.2439,0.0661,0.1463,0.1034,0.011,0.0052,0.0036,0.0036,0.1333,0.0761
111,0.2732,0.1105,0.2186,0.1838,0.1098,0.0737,0.0259,0.0259,0.1452,0.1258
112,0.4878,0.335,0.4,0.3001,0.2466,0.2146,0.1924,0.1924,0.3049,0.262
113,0.3723,0.1183,0.2128,0.2816,0.1486,0.0869,0.0602,0.0602,0.2415,0.2554
114,0.5849,0.3429,0.4811,0.4852,0.3649,0.2874,0.2357,0.2357,0.3632,0.4454
115,0.3121,0.1007,0.2128,0.2118,0.1123,0.0769,0.0486,0.0486,0.2353,0.0789
116,0.1606,0.0444,0.1168,0.0816,0.0092,0.0044,0.0031,0.0031,0.1739,0.0765
117,0.4267,0.2027,0.2667,0.3125,0.1989,0.1449,0.1121,0.1121,0.276,0.2186
118,0.2149,0.0504,0.1488,0.125,0.0536,0.0149,0.0079,0.0079,0.2597,0.0562
119,0.2443,0.0465,0.1832,0.1857,0.0899,0.0492,0.0205,0.0205,0.1845,-0.1305
120,0.3908,0.1163,0.2414,0.3226,0.1873,0.1322,0.1065,0.1065,0.2552,0.0704
121,0.1361,0.0106,0.1152,0.11,0.0105,0.0048,0.0033,0.0033,0.0777,-0.1896
122,0.433,0.1979,0.299,0.3254,0.2132,0.1543,0.1225,0.1225,0.2738,0.259
