id,generation_time_seconds,diffusion_steps,n_entities_pinned
749,9.245,64,10
750,17.382,64,10
751,20.102,64,11
752,16.879,64,9
753,24.143,64,8
754,12.865,64,6
755,18.881,64,10
756,13.861,64,10
757,18.639,64,10
758,17.329,64,7
759,13.55,64,10
760,14.121,64,8
761,13.472,64,11
762,12.192,64,12
763,23.545,64,11
764,25.802,64,9
765,20.111,64,9
766,20.466,64,14
767,8.064,64,3
768,12.077,64,10
769,13.146,64,13
770,17.455,64,9
771,13.188,64,10
772,17.503,64,11
773,20.307,64,12
774,23.583,64,11
775,17.394,64,10
776,29.106,64,10
777,19.982,64,10
778,13.592,64,10
779,20.34,64,8
780,13.096,64,12
781,18.513,64,8
782,17.034,64,10
783,13.605,64,10
784,23.478,64,7
785,8.004,64,5
786,12.874,64,8
787,11.957,64,10
788,18.932,64,9
789,13.49,64,8
790,25.893,64,6
791,17.253,64,11
792,7.855,64,10
793,27.552,64,11
794,17.391,64,11
795,17.383,64,9
796,12.9,64,10
797,13.855,64,9
798,13.927,64,12
799,12.902,64,10
800,13.432,64,8
801,9.493,64,8
802,16.945,64,10
803,17.481,64,10
804,25.881,64,12
805,18.621,64,12
806,17.034,64,11
807,12.189,64,12
808,26.172,64,10
809,13.694,64,11
810,18.465,64,9
811,13.024,64,10
812,18.751,64,11
813,37.341,64,7
814,33.355,64,11
815,17.244,64,12
816,13.221,64,9
817,13.208,64,11
818,36.593,64,7
819,18.658,64,10
820,13.852,64,9
821,40.635,64,9
822,17.156,64,10
823,20.619,64,11
824,14.048,64,9
825,17.095,64,9
826,26.021,64,9
827,17.295,64,9
828,17.51,64,9
829,26.863,64,7
830,23.48,64,10
831,17.629,64,11
832,18.849,64,10
833,14.051,64,7
834,20.243,64,8
835,12.889,64,7
836,12.114,64,6
837,29.541,64,7
838,18.962,64,10
839,18.484,64,11
840,13.696,64,9
841,25.836,64,12
842,24.03,64,10
843,18.653,64,11
844,13.937,64,8
845,13.72,64,10
846,14.065,64,8
847,12.084,64,10
848,29.612,64,8
849,23.863,64,9
850,12.21,64,6
851,13.2,64,10
852,23.763,64,8
853,17.057,64,8
854,23.754,64,10
855,26.139,64,10
856,12.136,64,10
857,20.186,64,11
858,13.089,64,9
859,13.865,64,12
860,13.623,64,11
861,24.005,64,10
862,16.957,64,10
863,7.917,64,4
864,18.963,64,12
865,9.416,64,9
866,20.02,64,11
867,17.13,64,9
868,11.824,64,9
869,23.731,64,7
870,24.167,64,9
871,24.031,64,11
872,17.129,64,9
873,17.186,64,9
874,13.213,64,10
875,20.459,64,8
876,13.083,64,9
877,18.826,64,10
878,13.209,64,12
879,13.927,64,8
880,13.745,64,8
