id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
984,0.2523,0.0636,0.1712,0.1589,0.0671,0.035,0.0142,0.0142,0.1602,0.0913
2522,0.2831,0.1734,0.2154,0.1346,0.1048,0.0939,0.0871,0.0871,0.1654,0.0514
1500,0.3231,0.125,0.2308,0.229,0.1069,0.0269,0.0135,0.0135,0.1155,0.1075
477,0.4286,0.1856,0.3061,0.3222,0.2035,0.1426,0.0969,0.0969,0.2921,0.1895
1002,0.4133,0.1622,0.24,0.2376,0.1617,0.1018,0.0754,0.0754,0.4036,0.2219
3050,0.246,0.0649,0.2032,0.1999,0.0845,0.0442,0.018,0.018,0.1559,-0.0845
1005,0.3657,0.1272,0.2743,0.2968,0.1626,0.1143,0.0846,0.0846,0.2843,0.1144
1517,0.5179,0.2613,0.3214,0.417,0.2815,0.1938,0.1324,0.1324,0.3109,0.317
2033,0.5611,0.3014,0.3891,0.3923,0.2844,0.235,0.2056,0.2056,0.3346,0.3341
2036,0.3311,0.1342,0.1987,0.2317,0.107,0.0523,0.0206,0.0206,0.227,0.1497
2549,0.4286,0.3091,0.2679,0.2857,0.2294,0.17,0.1277,0.1277,0.5004,0.2236
2550,0.1905,0.0138,0.1088,0.1215,0.0339,0.0103,0.0057,0.0057,0.2138,-0.0941
504,0.0881,0.0267,0.0793,0.0216,0.0134,0.008,0.0035,0.0035,0.0429,-0.3693
1533,0.3457,0.125,0.1481,0.2471,0.1435,0.0997,0.0701,0.0701,0.2207,0.1948
