id,generation_time_seconds,iterations,n_entities_pinned
432,1.71,6,10
433,1.383,6,11
434,1.742,4,8
435,0.789,4,9
436,2.569,6,11
437,1.381,6,10
438,1.584,4,10
439,1.393,6,6
440,1.366,6,9
441,2.422,6,10
442,2.379,6,9
443,0.743,4,8
444,3.912,6,9
445,1.098,4,10
446,0.941,4,10
447,1.15,4,8
448,1.662,6,10
449,2.565,6,12
450,1.753,4,7
451,4.699,26,10
452,4.376,22,9
453,1.845,6,10
454,1.215,4,9
455,1.214,4,10
456,2.027,6,9
457,2.07,4,10
458,3.868,6,9
459,1.242,4,10
460,1.222,4,11
461,1.651,6,10
462,1.398,6,11
463,4.798,24,10
464,2.349,6,10
465,1.15,4,9
466,6.2,33,7
467,1.387,6,11
468,1.27,7,11
469,1.831,6,11
470,2.863,6,12
471,1.377,6,9
472,1.103,4,7
473,0.746,4,10
474,0.721,4,4
475,0.921,4,10
476,1.66,6,11
477,1.86,6,10
478,1.343,6,9
479,1.993,6,9
480,3.948,6,11
481,6.381,35,8
482,1.711,6,12
483,1.139,4,9
484,3.798,19,10
485,1.594,4,10
486,1.194,6,10
487,2.614,6,9
488,1.255,4,10
489,0.889,4,9
490,0.957,4,11
491,2.363,6,9
492,3.727,6,10
493,1.237,4,10
494,1.323,6,9
495,2.355,6,10
496,1.331,6,10
497,0.793,4,10
498,1.883,6,9
499,3.342,6,11
500,1.339,6,7
501,1.673,6,7
502,1.191,6,8
503,0.789,4,10
504,1.715,6,8
505,0.787,4,10
506,7.338,39,10
507,1.841,6,9
508,1.571,4,7
509,2.139,4,9
510,1.565,4,7
511,1.217,4,9
512,1.675,6,10
513,1.719,4,11
514,1.345,6,9
515,1.689,6,11
516,1.091,6,9
517,0.782,4,7
518,1.316,6,10
519,0.784,4,11
520,1.71,6,10
521,2.625,6,9
522,1.862,6,8
523,1.971,6,9
524,3.827,6,10
525,2.837,6,10
526,1.234,4,9
527,1.852,4,10
528,1.57,4,9
529,1.963,6,8
530,1.653,6,12
531,1.14,4,9
532,2.768,6,9
533,1.108,6,8
534,2.404,6,11
535,1.388,6,9
536,1.306,4,9
537,1.103,6,6
538,1.749,4,8
539,8.438,45,8
540,1.438,6,9
541,1.243,4,12
